Mtr,Token,Units,Amt,TknAmt,OtherCharges,Datetime
37194275246,0526-8215-6524-9503-9878,3.56,76.0,43.64,32.36,2023-09-25 20:36:00
37194275246,3679-1731-0612-9307-9872,3.75,80.0,45.92,34.08,2023-10-01 14:30:00
37194275246,6493-9901-8503-7384-9636,2.31,53.0,28.34,24.66,2023-10-09 16:20:00
37194275246,1903-3655-4285-6624-8286,1.31,30.0,16.06,13.94,2023-10-13 16:31:00
37194275246,6146-3647-1516-7096-4248,3.49,80.0,42.77,37.23,2023-10-27 19:59:00
37194275246,1567-5226-5955-1046-8193,3.49,80.0,42.77,37.23,2023-11-05 15:43:00
37194275246,0127-5544-7118-6514-4297,3.54,80.0,43.38,36.62,2023-11-14 21:36:00
37194275246,5916-7820-7389-6708-2449,2.88,65.0,35.24,29.76,2023-11-27 01:07:00
37194275246,4603-7962-1563-5743-4734,2.74,62.0,33.63,28.37,2023-12-04 20:35:00
37194275246,3835-7707-6860-4147-3723,3.76,85.0,46.08,38.92,2023-12-08 22:22:00
37194275246,2540-1045-3605-0902-1327,2.4,55.0,29.4,25.6,2023-12-15 10:15:00
37194275246,0451-4377-6143-9209-1983,2.92,67.0,35.81,31.19,2023-12-22 23:21:00
37194275246,5953-0483-2699-1347-5136,1.4,32.0,17.12,14.88,2023-12-29 20:51:00
37194275246,1555-3933-5916-8350-1907,2.84,65.0,34.75,30.25,2024-01-01 09:28:00
37194275246,0685-3142-3848-0514-2758,3.36,77.0,41.15,35.85,2024-01-07 09:57:00
37194275246,5259-7485-8209-8084-0495,2.25,60.0,27.51,32.49,2024-01-15 01:14:00
37194275246,2763-9322-4782-5586-3858,2.06,55.0,25.23,29.77,2024-01-21 15:26:00
37194275246,1638-2806-6380-0515-4773,1.87,50.0,22.94,27.06,2024-01-27 10:01:00
37194275246,6340-3568-9163-7910-7766,1.12,30.0,13.78,16.22,2024-01-27 10:10:00
37194275246,3546-3623-0896-1588-4310,2.63,61.0,32.21,28.79,2024-02-09 22:24:00
37194275246,3324-5175-2217-3185-0191,1.29,30.0,15.86,14.14,2024-02-09 23:47:00
37194275246,3849-4186-7481-9124-4429,3.02,70.0,36.95,33.05,2024-02-14 17:26:00
37194275246,1613-8596-8704-1391-8290,3.45,80.0,42.23,37.77,2024-02-22 16:00:00
37194275246,6650-9585-0120-7807-2073,3.75,87.0,45.94,41.06,2024-02-28 21:06:00
37194275246,3336-4146-8273-0872-2136,2.11,49.0,25.88,23.12,2024-03-04 08:37:00
37194275246,0551-3077-6296-0766-5849,3.46,80.0,42.35,37.65,2024-03-10 18:59:00
37194275246,7015-0825-2584-2315-6360,3.67,85.0,45.0,40.0,2024-03-18 20:42:00
37194275246,0569-6746-4138-3274-2269,2.16,50.0,26.48,23.52,2024-03-26 10:39:00
37194275246,1075-2231-2429-0687-7472,3.46,80.0,42.35,37.65,2024-03-30 15:45:00
37194275246,7300-4956-5465-2597-8679,3.58,75.0,43.81,31.19,2024-04-07 22:58:00
37194275246,3342-4583-5787-5112-8044,3.81,80.0,46.73,33.27,2024-04-12 19:49:00
37194275246,1679-6781-9302-8616-6088,4.77,100.0,58.38,41.62,2024-04-20 23:06:00
37194275246,7140-7505-3329-0782-7138,4.77,100.0,58.38,41.62,2024-04-27 14:09:00
37194275246,6049-0760-3140-2719-0679,3.81,80.0,46.73,33.27,2024-05-05 21:09:00
37194275246,5331-8309-4929-1993-5313,4.8,100.0,57.88,42.12,2024-06-11 20:03:00
37194275246,5156-5879-2533-6888-4241,3.8,80.0,46.3,33.7,2024-06-23 12:34:00
37194275246,3789-3097-2317-5941-0438,2.5,50.0,30.57,19.43,2024-08-04 11:48:00
14106481758,5570-9640-9007-0585-2347,5.0,100.0,61.11,38.89,2024-08-05 21:56:00
37194275246,3919-5947-2914-9031-0684,4.9,100.0,59.75,40.25,2024-08-14 04:37:00
37194275246,4340-6193-4043-3871-8027,4.9,100.0,59.75,40.25,2024-08-24 09:47:00
37194275246,6780-5867-7318-8927-0005,4.9,100.0,59.75,40.25,2024-09-03 19:38:00
37194275246,3664-7732-9481-4045-9130,5.0,100.0,60.32,39.68,2024-09-13 14:13:00
37194275246,7079-3692-5262-0708-0160,3.0,60.0,36.21,23.79,2024-09-23 23:46:00
37194275246,4237-5141-4474-6252-7399,5.0,100.0,60.32,39.68,2024-09-29 23:43:00
37194275246,6742-4130-1415-2789-6064,5.0,100.0,60.13,39.87,2024-10-07 22:25:00
37194275246,5935-9829-6415-9770-8166,5.0,100.0,60.13,39.87,2024-10-16 17:45:00
37194275246,4905-0857-3701-7531-9950,5.0,100.0,60.13,39.87,2024-10-24 19:33:00
37194275246,6767-8074-3729-8889-7786,5.0,100.0,60.13,39.87,2024-10-31 12:04:00
37194275246,4966-0433-3918-4065-7105,9.9,200.0,120.22,79.78,2024-11-07 19:55:00
37194275246,6457-5037-4346-9927-3573,9.9,200.0,120.66,79.34,2024-11-18 10:16:00
37194275246,1332-1813-9350-1419-8348,5.0,100.0,60.35,39.65,2024-11-28 17:08:00
37194275246,6875-4939-5841-2680-6284,5.0,100.0,60.35,39.65,2024-12-01 20:23:00
14106481758,4005-3514-1194-1587-3237,2.5,50.0,30.19,19.81,2024-12-03 12:37:00
37194275246,6143-5360-1491-4257-4164,9.8,200.0,119.77,80.23,2024-12-07 21:54:00
37194275246,5003-5687-2818-8870-7006,2.5,50.0,29.97,20.03,2024-12-17 07:23:00
37194275246,5970-8564-8069-2868-6383,2.5,50.0,30.25,19.75,2025-01-15 11:14:00
37194275246,0803-1656-9134-6979-1166,5.0,100.0,60.45,39.55,2025-01-17 23:18:00
37194275246,3379-8779-2598-0138-1039,5.0,100.0,60.45,39.55,2025-01-28 18:24:00
37194275246,6611-8963-4778-5079-2430,5.0,100.0,60.45,39.55,2025-02-03 11:29:00
37194275246,4788-0517-3926-0755-2045,5.1,100.0,61.53,38.47,2025-02-10 05:38:00
37194275246,5837-9579-8040-0755-8403,5.1,100.0,61.53,38.47,2025-02-15 18:55:00
37194275246,6765-2435-8524-5610-2761,5.1,100.0,61.53,38.47,2025-02-23 08:39:00
37194275246,2052-1414-3589-2846-1542,5.1,100.0,61.53,38.47,2025-02-28 13:49:00
37194275246,2707-9159-3643-1095-5127,5.0,100.0,60.74,39.26,2025-03-09 07:30:00
37194275246,0290-9364-3877-3721-8101,5.0,100.0,60.74,39.26,2025-03-15 17:34:00
37194275246,6062-3808-2115-9109-7646,5.0,100.0,60.74,39.26,2025-03-23 13:38:00
37194275246,1262-4625-3946-7109-0131,5.0,100.0,60.74,39.26,2025-03-31 00:48:00
